Marca temporal,"1. Orientación
 Pregunta 1. Área de especialización en comunicación (si aplica)  ","2.  Experiencia Laboral  
  Pregunta 2:  ¿Cuántos años llevas trabajando en el campo de la comunicación?",  Pregunta 3: ¿Qué rol o posición desempeñas en tu trabajo?  ,  Pregunta 4: ¿En qué tipo de organización trabajas?  ,"3. Habilidades y Competencias:
Pregunta5: ¿Qué habilidades consideras más importantes en el campo de la comunicación digital?","  Pregunta 6: En una escala del 1 al 5, ¿Qué tan cómodo te sientes utilizando herramientas y tecnologías digitales?  ","  Pregunta 7: En los últimos años, ¿Has tenido que desarrollar habilidades ya antes adquiridas o formar habilidades totalmente nuevas para adaptarte al campo laboral?  ","  Por favor, especifica cuáles habilidades has tenido que desarrollar o formar para adaptarte al entorno laboral de la comunicación digital. ¿Qué desafíos enfrentaste en este proceso y cómo los superaste?  ","4. Preferencias y Percepciones:
Pregunta 8: ¿Qué aspecto del trabajo en comunicación digital encuentras más satisfactorio?","  Pregunta 9: En tu opinión, ¿Cuáles son los mayores desafíos que enfrentan los profesionales de la comunicación en la era digital en términos de calidad y seguridad laboral, así como prácticas laborales y condiciones de empleo?  "
4/08/2024 21:26:25,Medios de comunicación,Menos de 1 año,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Manejo de inteligencia artificial, Conocimientos en programación",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 13:58:43,Institucional,1-3 años,Gestor de redes sociales,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:01:18,Institucional,Menos de 1 año,Gestor de redes sociales,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Manejo de inteligencia artificial",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:01:45,Medios de comunicación,1-3 años,Especialista en marketing digital,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Trabajar el copywriting, completamente distinto a la escritura relacionada a lo enseñado en la facultad.",Analítica y medición de resultados,Salarios bajos o inestables
5/08/2024 14:04:45,Institucional,Más de 6 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Aprender sobre gestión y generación de contenidos en redes sociales. Edición de gráfica y vídeo.,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:04:46,Medios de comunicación,Menos de 1 año,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Conocimientos de diseño gráfico",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:07:35,Institucional,Menos de 1 año,Especialista en marketing digital,Agencia de publicidad/marketing,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico, Manejo de inteligencia artificial",5,"No he tenido que desarrollar habilidades adquiridas, ni formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:08:16,,Menos de 1 año,Productor de contenido multimedia,Emprendimiento personal,"Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Conocimientos de diseño gráfico, Manejo de inteligencia artificial",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Tuve que aprender a utilizar programas de diseño (Canva, por ej.), programas de edición de video, aprender dónde, cómo y con qué grabar la voz y la imagen, iluminación de video, etc.

El mayor desafío ha sido tener los dispositivos tecnológicos a la altura para realizar estas tareas.",Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:09:18,Institucional,1-3 años,Periodista,Medios de comunicación,"Habilidades de comunicación interpersonal, Escritura creativa",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Interacción con la audiencia,Salarios bajos o inestables
5/08/2024 14:12:24,Institucional,Más de 6 años,Productor de contenido multimedia,Empresa privada,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa, Conocimientos de diseño gráfico",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:12:40,Institucional,4-6 años,Gestor de redes sociales,Emprendimiento personal,"Manejo de herramientas de análisis de redes sociales, Habilidades de comunicación interpersonal, Escritura creativa",5,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Diseño gráfico digital, edición de material, aprender a trabajar con la IA. Lo pude sortear gracias a capacitaciones que me han dado en los diferentes ámbitos en donde he trabajado y también he realizado cursos de manera particular.",Creatividad y expresión,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:15:00,Institucional,Menos de 1 año,Periodista,Institución gubernamental,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",-,Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:21:59,Medios de comunicación,Menos de 1 año,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Conocimientos de diseño gráfico, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas","Edición de video y fotos, utilizando software para computadora o apps para celulares. La principal dificultad es la comprensión de las herramientas y como utilizarlas. Luego el problema económico ya que algunas apps o programas necesitas pagar para usarlas.",Creatividad y expresión,Salarios bajos o inestables
5/08/2024 14:22:27,Medios de comunicación,1-3 años,Periodista,Medios de comunicación,"Manejo de herramientas de análisis de redes sociales, Edición de vídeo y/o imágenes, audio, Habilidades de comunicación interpersonal, Escritura creativa",3,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",,Interacción con la audiencia,Exigencia de multitarea y largas jornadas laborales
5/08/2024 14:27:02,Institucional,Menos de 1 año,Gestor de redes sociales,Organización sin fines de lucro,"Edición de vídeo y/o imágenes, audio, Manejo de inteligencia artificial, Conocimientos en programación",4,"Si, he tenido que desarrollar habilidades antes adquiridas y/o formar habilidades nuevas",Generar imágenes con IA..practicando y con tutoriales ,Creatividad y expresión,Salarios bajos o inestables
